Duty Date,Duty Category,Duty Type
2012-02-23,OFF,XX
2012-02-24,OFF,XX
2012-02-25,OFF,XX
2012-02-26,OFF,XX
2012-03-01,OFF,XX
2012-03-02,OFF,XX
2012-03-06,REST,REST
2012-03-10,OFF,XX
2012-03-11,OFF,XX
2012-03-15,OFF,XX
2012-03-16,OFF,XX
2012-03-17,OFF,XX
2012-03-21,REST,REST
2012-03-25,OFF,XX
2012-03-26,OFF,XX
2012-03-27,OFF,XXR
2012-04-01,OFF,XX
2012-04-02,OFF,XX
2012-04-03,OFF,XX
2012-04-10,OFF,XX
2012-04-11,OFF,XX
2012-04-19,OFF,XX
2012-04-20,OFF,XX
2012-04-27,OFF,XX
2012-04-28,OFF,XX
2012-04-29,OFF,XXR
2012-04-30,ABS,AB
2012-05-01,REST,REST
2012-05-02,SBY,S23
2012-05-06,OFF,XXR
2012-05-07,OFF,XXR
2012-05-08,OFF,XXR
2012-05-09,OFF,XXR
2012-05-10,OFF,XXR
2012-05-14,OFF,XX
2012-05-15,LVE,LV
2012-05-16,LVE,LV
2012-05-17,LVE,LV
2012-05-18,LVE,LV
2012-05-19,LVE,LV
2012-05-20,LVE,LV
2012-05-21,LVE,LV
2012-05-22,LVE,LV
2012-05-23,LVE,LV
2012-05-24,LVE,LV
2012-05-25,LVE,LV
2012-05-26,LVE,LV
2012-05-27,LVE,LV
2012-05-28,LVE,LV
2012-05-29,LVE,LV
2012-05-30,OFF,XX
2012-05-31,OFF,XXR
2012-06-01,OFF,XXR
2012-06-02,OFF,XXR
2012-06-03,OFF,XXR
2012-06-04,OFF,XX
2012-06-05,OFF,XX
2012-06-06,OFF,XX
2012-06-07,TRG,3877A
2012-06-08,TRG,3877A
2012-06-09,TRG,3877A
2012-06-10,TRG,3877A
2012-06-11,TRG,3877A
2012-06-12,OFF,XX
2012-06-13,OFF,XX
2012-06-17,OFF,XX
2012-06-18,OFF,XX
2012-06-19,SBY,SBU
2012-06-22,SBY,S06
2012-06-24,OFF,XX
2012-06-25,OFF,XX
2012-06-26,OFF,XX
2012-06-30,OFF,XX
2012-07-01,OFF,XX
2012-07-04,OFF,XXR
2012-07-05,OFF,XX
2012-07-06,OFF,XX
2012-07-07,OFF,XX
2012-07-11,OFF,XX
2012-07-12,OFF,XX
2012-07-15,OFF,XX
2012-07-16,OFF,XX
2012-07-17,OFF,XX
2012-07-20,OFF,XXR
2012-07-21,OFF,XX
2012-07-22,TRG,38JP
2012-07-23,TRG,38JP
2012-07-24,TRG,38JP
2012-07-25,TRG,38JP
2012-07-26,TRG,38JP
2012-07-27,OFF,XX
2012-07-28,OFF,XX
2012-08-01,REST,REST
2012-08-05,OFF,XX
2012-08-06,REST,REST
2012-08-09,OFF,XX
2012-08-10,OFF,XX
2012-08-11,REST,REST
2012-08-14,REST,REST
2012-08-17,OFF,XX
2012-08-18,OFF,XX
2012-08-19,REST,REST
2012-08-22,OFF,XX
2012-08-23,OFF,XX
2012-08-24,REST,REST
2012-08-25,SCK,SK
2012-08-26,REST,REST
2012-08-27,OFF,XX
2012-08-30,OFF,XX
2012-08-31,OFF,XX
2012-09-01,OFF,XX
2012-09-06,REST,REST
2012-09-10,OFF,XXR
2012-09-11,OFF,XXR
2012-09-16,OFF,XX
2012-09-17,OFF,XX
2012-09-18,OFF,XX
2012-09-23,OFF,XX
2012-09-24,OFF,XX
