22-Mar-2011,SBY-S04,,,,
23-Mar-2011,0036/NCLDXB,GR2,23-Mar-2011 13:09,24-Mar-2011 00:27,07:30
25-Mar-2011,OFF-XX,,,,
26-Mar-2011,OFF-XX,,,,
27-Mar-2011,SBY-S22,,,,
28-Mar-2011,0526/DXBHYD,GR2,28-Mar-2011 03:40,28-Mar-2011 08:31,03:25
28-Mar-2011,0527/HYDDXB,GR2,28-Mar-2011 10:00,28-Mar-2011 12:08,03:44
29-Mar-2011,OFF-XXR,,,,
30-Mar-2011,0107/DXBLCA,GR2,30-Mar-2011 08:33,30-Mar-2011 11:23,03:59
30-Mar-2011,0107/LCAMLA,GR2,30-Mar-2011 12:17,30-Mar-2011 14:08,02:56
31-Mar-2011,0108/LCADXB,GR2,31-Mar-2011 20:20,01-Apr-2011 00:25,03:09
31-Mar-2011,0108/MLALCA,GR2,31-Mar-2011 15:50,31-Mar-2011 19:21,02:39
02-Apr-2011,OFF-XXR,,,,
03-Apr-2011,OFF-XX,,,,
04-Apr-2011,REST-REST,,,,
05-Apr-2011,0516/DXBDEL,GR2,05-Apr-2011 09:58,05-Apr-2011 14:20,03:
05-Apr-2011,0517/DELDXB,GR2,05-Apr-2011 16:20,05-Apr-2011 18:30,03:45
05-Apr-2011,SBY-S04,,,,
06-Apr-2011,OFF-XX,,,,
07-Apr-2011,OFF-XX,,,,
08-Apr-2011,OFF-XX,,,,
09-Apr-2011,REST-REST,,,,
10-Apr-2011,0432/DXBSIN,GR2,10-Apr-2011 03:01,10-Apr-2011 13:53,07:04
11-Apr-2011,0432/SINBNE,GR2,11-Apr-2011 15:29,12-Apr-2011 00:39,07:14
13-Apr-2011,0433/BNESIN,GR2,13-Apr-2011 02:15,13-Apr-2011 07:40,07:29
14-Apr-2011,0433/SINDXB,GR2,14-Apr-2011 09:35,14-Apr-2011 13:16,07:49
15-Apr-2011,OFF-XX,,,,
16-Apr-2011,OFF-XX,,,,
17-Apr-2011,REST-REST,,,,
18-Apr-2011,SBY-SA0200,,,,
19-Apr-2011,3823/DXBDMM,GR2,19-Apr-2011 02:59,19-Apr-2011 03:18,01:25
19-Apr-2011,3824/DMMDXB,GR2,19-Apr-2011 04:30,19-Apr-2011 06:43,01:22
21-Apr-2011,0316/DXBKIX,GR2,21-Apr-2011 03:03,21-Apr-2011 16:51,08:53
22-Apr-2011,0317/KIXDXB,GR2,22-Apr-2011 23:09,23-Apr-2011 04:12,10:09
24-Apr-2011,OFF-XX,,,,
25-Apr-2011,REST-REST,,,,
26-Apr-2011,0011/DXBLGW,GR2,26-Apr-2011 03:10,26-Apr-2011 07:18,07:13
27-Apr-2011,0012/LGWDXB,GR2,27-Apr-2011 10:08,27-Apr-2011 19:56,06:57
28-Apr-2011,OFF-XX,,,,
29-Apr-2011,OFF-XX,,,,
30-Apr-2011,OFF-XX,,,,
01-May-2011,0107/DXBLCA,GR2,01-May-2011 08:42,01-May-2011 11:13,03:35
01-May-2011,0107/LCAMLA,GR2,01-May-2011 12:09,01-May-2011 14:09,03:04
02-May-2011,0108/LCADXB,GR2,02-May-2011 20:05,03-May-2011 00:15,03:18
